                                                                                     Links for political articles,                Links to find the articles,,
https://indianexpress.com/article/political-pulse/nitish-rahul-tejashwi-rjd-jdu-india-9137465/,,,
https://indianexpress.com/article/opinion/columns/bjps-three-new-faces-chapter-social-justice-india-9066393/,,,
https://indianexpress.com/article/political-pulse/decode-politics-telangana-curious-case-missing-brs-government-files-9068154/,,,
https://indianexpress.com/article/political-pulse/1991-places-of-worship-act-gyanvapi-mosque-case-9138210/,,,
https://indianexpress.com/article/cities/ahmedabad/statues-of-pm-yogi-guard-a-rooftop-temple-against-demolition-in-bharuch-9135684/,,,https://www.deccanherald.com/india/west-bengal/ram-temple-inauguration-tmc-pits-political-might-against-bjp-with-all-faith-rally-in-bengal-on-jan-22-2858310
https://indianexpress.com/article/cities/chennai/irs-officer-nirmala-sitharaman-suspended-9136269/,,,
https://indianexpress.com/article/political-pulse/masih-as-bjp-messiah-meet-presiding-officer-at-centre-of-chandigarh-mayoral-tussle-9138062/,,,
https://indianexpress.com/article/political-pulse/decode-politics-tribals-naveen-patnaik-odisha-9136590/,,,
https://indianexpress.com/article/political-pulse/budget-nirmala-sitharaman-modi-jharkhand-new-cm-9137917/,,,
https://indianexpress.com/article/political-pulse/hemant-soren-arrest-jmm-central-agencies-scanner-since-2020-9137637/,,,
https://indianexpress.com/article/political-pulse/day-1-new-parliament-building-protests-excitement-tablets-8947744/,,,
https://indianexpress.com/article/india/nitish-kumar-reacts-rahul-gandhis-bihar-caste-survey-remark-9136475/,,,
https://indianexpress.com/article/india/rahul-gandhis-car-window-smashed-congress-security-lapse-charge-9137127/,,,
https://indianexpress.com/article/cities/kolkata/bharat-jodo-nyay-yatra-west-bengal-rahul-gandhi-glass-car-congress-9136448/,,,
https://indianexpress.com/article/political-pulse/2023-major-political-events-in-numbers-9086049/,,,
